col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0.182834413,0.008570358,0.780990782,0.411585914,0.516236318,0.005265143,0.470017067,0.245996599,0.508685463,0.012376402,0.646183482,0.155273499,0.194470227,0.096332844,0.367463514,0.278057742,0.116005033,0.285614181,0.163751122,0.645378402
0.007056994,0.12161379,0.072520718,0.853560082,0.606552337,0.118318772,0.366129625,0.366810038,0.288554591,0.251771389,0.595494929,0.240447936,0.17424534,0.130454971,0.415017336,0.110966891,0.24973839,0.78344831,0.625039388,0.354813315
0.426433527,0.00565059,0.35495094,0.133060324,0.563762377,0.006281905,0.289628236,0.274653333,0.476704546,0.032294444,0.560708304,0.335787487,0.293721881,0.317784842,0.392514643,0.524211246,0.421269654,0.454050403,0.449296271,0.394304407
0.200419696,0.033099573,0.065372618,0.883865642,0.443253479,0.051726867,0.325101058,0.467451106,0.702413047,0.044006812,0.391419806,0.250281137,0.360748578,0.145439252,0.918343512,0.754055133,0.518777432,0.029826476,0.582210725,0.020335965
0.384016265,0.003908911,0.463069453,0.01103709,0.846502335,0.018176151,0.865139906,0.522500211,0.442817908,0.023461267,0.431533812,0.136062954,0.444787609,0.29750288,0.890264418,0.740931224,0.240189967,0.544343091,0.691800734,0.460316553
0.174615352,0.005316491,0.7274355,0.189570039,0.517592809,0.004291625,0.281626868,0.359655084,0.610365462,0.04393463,0.377957942,0.19191168,0.588824308,0.037780186,0.713430915,0.157630961,0.246203943,0.299143503,0.50402342,0.477651527
1,0.819306218,0.9503915,0.85942047,0.400900322,0.7989585,0.352104908,0.512811801,0.022427334,0.828335041,0.422929503,0.386510985,0.762234946,0.60475645,0.794392977,0.548200743,0.936265429,1,0.678978265,0.133962541
0.251761832,0.000475881,0.685204497,0.471249426,0.737628558,0.014990871,0.532166094,0.504828475,0.193563105,0.071424499,0.171745371,0.586505844,0.374366934,0.055773913,0.672920192,0.349890921,0.301968316,0.500696606,0.623078447,0.430292804
